Thermistor 1, Thermistor 2, Thermistor 3, Thermistor 4, Thermistor 5, Thermistor 6, Thermistor 7, Thermistor 8
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.13,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.35,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.35,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
55.24,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15,-273.15
